,Date,Ticker,Price
0,2021-03-19,ABEV3.SA,15.350000381469728
1,2021-03-22,ABEV3.SA,15.289999961853027
2,2021-03-23,ABEV3.SA,15.40999984741211
3,2021-03-24,ABEV3.SA,15.010000228881836
4,2021-03-25,ABEV3.SA,14.739999771118164
5,2021-03-26,ABEV3.SA,15.010000228881836
6,2021-03-29,ABEV3.SA,15.06999969482422
7,2021-03-30,ABEV3.SA,15.130000114440918
8,2021-03-31,ABEV3.SA,15.600000381469728
9,2021-04-01,ABEV3.SA,15.390000343322754
10,2021-04-02,ABEV3.SA,
11,2021-04-05,ABEV3.SA,15.130000114440918
12,2021-04-06,ABEV3.SA,15.270000457763672
13,2021-04-07,ABEV3.SA,15.229999542236328
14,2021-04-08,ABEV3.SA,15.199999809265137
15,2021-04-09,ABEV3.SA,15.220000267028809
16,2021-04-12,ABEV3.SA,15.5
17,2021-04-13,ABEV3.SA,15.5
18,2021-04-14,ABEV3.SA,15.640000343322754
19,2021-04-15,ABEV3.SA,15.789999961853027
20,2021-04-16,ABEV3.SA,15.789999961853027
21,2021-04-19,ABEV3.SA,15.539999961853027
22,2021-04-20,ABEV3.SA,15.670000076293944
23,2021-04-22,ABEV3.SA,15.890000343322754
24,2021-04-23,ABEV3.SA,15.979999542236328
25,2021-04-26,ABEV3.SA,15.600000381469728
26,2021-04-27,ABEV3.SA,15.510000228881836
27,2021-04-28,ABEV3.SA,15.300000190734863
28,2021-04-29,ABEV3.SA,15.210000038146973
29,2021-04-30,ABEV3.SA,15.199999809265137
30,2021-05-03,ABEV3.SA,14.920000076293944
31,2021-05-04,ABEV3.SA,14.739999771118164
32,2021-05-05,ABEV3.SA,14.649999618530272
33,2021-05-06,ABEV3.SA,15.84000015258789
34,2021-05-07,ABEV3.SA,16.190000534057617
35,2021-05-10,ABEV3.SA,16.149999618530273
36,2021-05-11,ABEV3.SA,16.350000381469727
37,2021-05-12,ABEV3.SA,16.649999618530273
38,2021-05-13,ABEV3.SA,17.0
39,2021-05-14,ABEV3.SA,17.100000381469727
40,2021-05-17,ABEV3.SA,17.229999542236328
41,2021-05-18,ABEV3.SA,17.350000381469727
42,2021-05-19,ABEV3.SA,17.3700008392334
43,2021-05-20,ABEV3.SA,17.549999237060547
44,2021-05-21,ABEV3.SA,17.549999237060547
45,2021-05-24,ABEV3.SA,17.610000610351562
46,2021-05-25,ABEV3.SA,17.760000228881836
47,2021-05-26,ABEV3.SA,17.75
48,2021-05-27,ABEV3.SA,17.3799991607666
49,2021-05-28,ABEV3.SA,17.59000015258789
50,2021-05-31,ABEV3.SA,17.739999771118164
51,2021-06-01,ABEV3.SA,17.989999771118164
52,2021-06-02,ABEV3.SA,18.770000457763672
53,2021-06-04,ABEV3.SA,19.299999237060547
54,2021-06-07,ABEV3.SA,19.31999969482422
55,2021-06-08,ABEV3.SA,19.46999931335449
56,2021-06-09,ABEV3.SA,19.59000015258789
57,2021-06-10,ABEV3.SA,19.43000030517578
